cycles,stress,censoring
1.17E+04,215,1
1.64E+04,190,1
1.98E+04,190,1
2.55E+04,190,1
2.96E+04,190,1
3.72E+04,190,1
4.69E+04,165,1
5.22E+04,165,1
7.27E+04,165,1
8.27E+04,165,1
9.25E+04,165,1
9.90E+04,140,1
1.12E+05,165,1
1.75E+05,140,1
1.91E+05,130,1
3.52E+05,140,1
3.78E+05,140,1
4.88E+05,140,1
6.67E+05,140,1
9.82E+05,140,1
1.33E+06,140,1
1.39E+06,130,1
2.52E+06,130,1
4.62E+06,130,1
5.43E+06,140,1
1.15E+07,130,1
1.22E+07,130,1
1.99E+07,120,0
2.20E+07,120,0
2.40E+07,120,0
2.64E+07,120,0
